"Date","Price","Open","High","Low","Vol.","Change %"
"06/12/2022","408.85","408.97","408.98","408.83","","-0.13%"
"06/10/2022","409.38","420.41","420.44","409.11","","-2.72%"
"06/09/2022","420.81","429.05","429.08","420.33","","-1.98%"
"06/08/2022","429.32","431.65","432.55","428.55","","-0.54%"
"06/07/2022","431.65","429.60","431.95","425.94","","0.34%"
"06/06/2022","430.19","428.20","433.50","427.93","","0.46%"
"06/05/2022","428.21","428.20","428.26","428.19","","-0.02%"
"06/03/2022","428.30","433.40","433.92","427.62","","-1.08%"
"06/02/2022","432.96","427.34","433.40","426.14","","1.27%"
"06/01/2022","427.52","430.84","433.09","425.48","","-0.75%"
"05/31/2022","430.76","433.44","433.55","428.96","","-0.63%"
"05/30/2022","433.48","430.85","433.64","430.83","","0.61%"
"05/29/2022","430.86","430.85","430.88","430.83","","0.03%"
"05/27/2022","430.73","422.29","430.93","422.27","","2.08%"
"05/26/2022","421.94","416.22","423.07","415.48","","1.44%"
"05/25/2022","415.94","413.46","417.48","412.46","","0.63%"
"05/24/2022","413.32","416.98","417.02","409.25","","-0.87%"
"05/23/2022","416.96","410.83","417.54","410.79","","1.50%"
"05/22/2022","410.79","410.83","410.85","410.79","","0.02%"
"05/20/2022","410.69","409.08","413.98","404.69","","0.40%"
"05/19/2022","409.06","411.37","411.98","406.64","","-0.67%"
"05/18/2022","411.80","422.67","423.37","410.64","","-2.53%"
"05/17/2022","422.48","414.73","422.71","414.73","","1.97%"
"05/16/2022","414.32","415.31","417.02","412.75","","-0.24%"
"05/15/2022","415.32","415.31","415.35","415.30","","0.05%"
"05/13/2022","415.11","405.78","416.27","405.78","","2.21%"
"05/12/2022","406.14","408.62","408.71","401.13","","-0.71%"
"05/11/2022","409.05","412.01","416.65","408.31","","-0.73%"
"05/10/2022","412.06","411.84","417.33","409.15","","0.09%"
"05/09/2022","411.71","424.14","424.15","410.89","","-2.92%"
"05/08/2022","424.08","424.14","424.15","424.08","","-0.12%"
"05/06/2022","424.60","428.67","428.70","420.55","","-0.98%"
"05/05/2022","428.79","440.78","441.99","426.07","","-2.45%"
"05/04/2022","439.57","432.69","441.25","429.71","","1.59%"
"05/03/2022","432.71","430.99","434.28","430.68","","0.38%"
"05/02/2022","431.09","431.03","432.06","424.86","","0.03%"
"05/01/2022","430.97","431.03","431.06","430.97","","-0.08%"
"04/29/2022","431.32","439.07","441.93","430.71","","-1.74%"
"04/28/2022","438.94","431.56","440.45","431.42","","1.77%"
"04/27/2022","431.31","431.90","435.22","429.59","","-0.19%"
"04/26/2022","432.12","440.96","441.78","431.83","","-1.96%"
"04/25/2022","440.77","442.98","443.00","434.84","","-0.50%"
"04/24/2022","443.00","442.98","443.00","442.96","","0.00%"
"04/22/2022","442.99","453.73","453.75","442.91","","-2.41%"
"04/21/2022","453.95","458.79","462.76","453.16","","-1.07%"
"04/20/2022","458.86","457.34","460.65","457.32","","0.33%"
"04/19/2022","457.37","453.71","457.86","452.28","","0.77%"
"04/18/2022","453.87","454.92","455.05","452.36","","-0.22%"
"04/17/2022","454.88","454.92","454.93","454.86","","-0.02%"
"04/15/2022","454.95","455.45","455.45","454.79","","-0.08%"
"04/14/2022","455.31","459.16","460.01","455.31","","-0.70%"
"04/13/2022","458.54","454.51","459.41","454.37","","0.81%"
"04/12/2022","454.86","456.51","460.04","453.69","","-0.39%"
"04/11/2022","456.64","462.93","462.96","456.38","","-1.35%"
"04/10/2022","462.89","462.93","462.96","462.89","","0.03%"
"04/08/2022","462.77","462.72","464.96","461.18","","-0.02%"
"04/07/2022","462.87","463.21","464.06","459.36","","-0.14%"
"04/06/2022","463.50","468.75","468.77","461.11","","-1.22%"
"04/05/2022","469.23","473.51","474.36","468.07","","-0.92%"
"04/04/2022","473.61","469.70","473.61","469.67","","0.83%"
"04/03/2022","469.69","469.70","469.73","469.67","","0.00%"
"04/01/2022","469.67","468.51","469.90","467.21","","0.14%"
"03/31/2022","469.01","475.11","475.23","468.51","","-1.30%"
"03/30/2022","475.20","476.53","477.35","473.73","","-0.26%"
"03/29/2022","476.42","469.55","476.84","469.48","","1.54%"
"03/28/2022","469.20","467.59","469.37","465.61","","0.35%"
"03/27/2022","467.58","467.59","467.60","467.56","","-0.01%"
"03/25/2022","467.65","467.20","468.39","464.97","","0.11%"
"03/24/2022","467.12","463.05","467.12","462.58","","0.78%"
"03/23/2022","463.50","467.19","468.04","463.39","","-0.69%"
"03/22/2022","466.72","461.97","467.40","461.57","","1.02%"
"03/21/2022","461.99","462.36","463.36","459.22","","-0.09%"
"03/18/2022","462.39","458.60","462.59","456.28","","0.85%"
"03/17/2022","458.48","451.97","458.48","451.96","","1.76%"
"03/16/2022","450.56","439.15","451.18","439.05","","2.70%"
"03/15/2022","438.70","434.52","439.06","431.85","","0.89%"
"03/14/2022","434.82","437.70","440.11","433.80","","-0.68%"
"03/11/2022","437.80","442.19","444.35","437.29","","-1.10%"
"03/10/2022","442.69","444.49","445.59","439.19","","-0.15%"
"03/09/2022","443.34","431.90","444.86","431.33","","2.73%"
"03/08/2022","431.54","434.89","438.56","430.94","","-0.85%"
"03/07/2022","435.23","446.12","446.19","435.04","","-2.68%"
"03/04/2022","447.23","454.84","454.85","444.50","","-1.82%"
"03/03/2022","455.54","459.42","460.49","454.22","","-0.57%"
"03/02/2022","458.17","453.50","459.75","451.97","","0.89%"
"03/01/2022","454.14","460.61","461.10","452.23","","-1.31%"
"02/28/2022","460.19","459.83","461.13","456.25","","-0.06%"
"02/25/2022","460.46","450.82","460.73","450.64","","2.42%"
"02/24/2022","449.58","452.19","452.19","438.80","","-0.71%"
"02/23/2022","452.81","458.16","461.39","452.41","","-1.16%"
"02/22/2022","458.11","461.53","462.18","455.61","","-0.89%"
"02/21/2022","462.24","463.11","464.32","461.73","","-0.36%"
"02/18/2022","463.89","467.26","467.64","462.55","","-0.83%"
"02/17/2022","467.78","474.82","475.13","467.44","","-1.44%"
"02/16/2022","474.63","473.72","475.65","471.88","","0.34%"
"02/15/2022","473.01","466.99","473.26","466.38","","1.30%"
"02/14/2022","466.92","470.65","470.77","464.67","","-1.01%"
"02/11/2022","471.70","477.56","478.87","470.24","","-1.46%"
"02/10/2022","478.69","483.36","484.62","476.97","","-0.91%"
"02/09/2022","483.08","476.09","491.88","475.96","","1.55%"
"02/08/2022","475.72","473.69","476.39","471.62","","0.50%"
"02/07/2022","473.34","473.44","475.83","472.66","","-0.07%"
"02/04/2022","473.68","472.53","476.28","470.36","","0.31%"
