"Date","Price","Open","High","Low","Vol.","Change %"
"02/02/2021","2731.95","2697.46","2739.33","2697.46","","1.26%"
"02/01/2021","2697.88","2659.13","2702.49","2659.13","","1.36%"
"01/29/2021","2661.69","2711.00","2711.59","2649.92","","-1.80%"
"01/28/2021","2710.60","2691.29","2731.76","2677.39","","0.60%"
"01/27/2021","2694.42","2755.14","2755.83","2685.39","","-2.17%"
"01/26/2021","2754.12","2757.42","2768.23","2752.62","","-0.10%"
"01/25/2021","2756.87","2755.36","2762.58","2726.18","","0.04%"
"01/22/2021","2755.66","2766.27","2766.44","2749.02","","-0.36%"
"01/21/2021","2765.57","2763.62","2770.88","2760.68","","0.15%"
"01/20/2021","2761.48","2732.70","2765.16","2731.82","","1.06%"
"01/19/2021","2732.48","2713.57","2736.01","2713.52","","0.70%"
"01/18/2021","2713.49","2711.70","2713.92","2709.93","","-0.05%"
"01/15/2021","2714.81","2739.16","2739.88","2702.02","","-0.85%"
"01/14/2021","2738.09","2739.99","2751.99","2738.09","","-0.06%"
"01/13/2021","2739.87","2737.73","2746.01","2731.39","","0.20%"
"01/12/2021","2734.40","2730.70","2740.53","2722.16","","0.16%"
"01/11/2021","2730.05","2751.15","2751.15","2722.14","","-0.84%"
"01/08/2021","2753.31","2735.27","2754.11","2729.57","","0.70%"
"01/07/2021","2734.19","2703.01","2738.63","2702.28","","1.28%"
"01/06/2021","2699.51","2685.94","2719.15","2677.25","","0.57%"
"01/05/2021","2684.18","2668.91","2690.33","2666.18","","0.53%"
"01/04/2021","2670.04","2690.12","2709.18","2649.36","","-0.74%"
"01/01/2021","2690.04","2690.04","2690.04","2690.04","","0.00%"
"12/31/2020","2690.04","2686.27","2690.77","2677.61","","0.15%"
"12/30/2020","2686.06","2682.66","2693.57","2680.36","","0.14%"
"12/29/2020","2682.18","2678.81","2699.37","2678.81","","0.20%"
"12/28/2020","2676.80","2661.20","2680.10","2659.77","","0.66%"
"12/25/2020","2659.27","2659.40","2660.22","2658.97","","0.01%"
"12/24/2020","2659.04","2651.75","2659.69","2651.61","","0.29%"
"12/23/2020","2651.41","2643.74","2661.62","2643.21","","0.32%"
"12/22/2020","2643.07","2647.63","2648.95","2636.53","","-0.07%"
"12/21/2020","2644.97","2665.71","2665.86","2612.71","","-0.80%"
"12/18/2020","2666.30","2675.20","2676.01","2654.23","","-0.32%"
"12/17/2020","2674.87","2655.82","2675.30","2654.94","","0.76%"
"12/16/2020","2654.79","2644.90","2659.98","2644.90","","0.42%"
"12/15/2020","2643.74","2620.38","2645.27","2617.19","","0.93%"
"12/14/2020","2619.43","2624.17","2645.80","2619.43","","-0.09%"
"12/11/2020","2621.89","2629.67","2631.37","2606.81","","-0.25%"
"12/10/2020","2628.58","2626.33","2633.47","2610.03","","0.04%"
